user_id,session_id,timestamp,country,city,prev_country,ip_address,isp,is_vpn,is_tor,is_proxy,is_datacenter_ip,ip_reputation_score,device_fingerprint,device_type,time_since_last_login_hours,distance_from_last_login_km,login_attempts,failed_attempts,password_correct,time_to_login_seconds,is_breached_credential,mfa_required,mfa_method,mfa_attempts,mfa_success,mfa_time_taken_seconds,mfa_method_changed,push_notification_count,hour_of_day,day_of_week,is_weekend,is_unusual_time,typing_speed_chars_per_min,mouse_movement_entropy,concurrent_sessions,session_duration_last_minutes,velocity_score,device_trust_score,location_trust_score,risk_score,is_anomaly,anomaly_category
USER_8306,SESSION_000001,2025-10-30T23:21:00,USA,Boston,USA,173.192.24.74,Comcast,0,0,0,0,0.923,FP_84605,iOS-Safari,36.4,139.97,2,0,1,36.19,0,1,Authenticator_App,1,1,1.07,0,2,23,3,0,0,72.26,0.816,1,14.98,0.001,0.807,0.926,10.17,0,normal
USER_9189,SESSION_000002,2025-10-17T20:16:00,India,Kolkata,India,129.226.180.7,Airtel,0,0,0,0,0.76,FP_16233,Mac-Safari,25.96,84.98,2,0,1,50.05,0,1,Push_Notification,1,1,2.89,0,2,20,4,0,0,109.61,0.729,1,26.03,0.001,0.765,0.67,17.08,0,normal
USER_7727,SESSION_000003,2025-09-03T02:13:00,UK,Boston,UK,235.17.0.49,AT&T,0,0,0,0,0.992,FP_58605,Android-Chrome,62.14,198.68,2,0,1,81.2,0,1,Push_Notification,1,1,4.42,0,2,2,2,0,1,57.36,0.667,0,6.17,0.001,0.905,0.807,9.45,0,normal
USER_3554,SESSION_000004,2025-10-16T04:20:00,India,Bangalore,India,14.190.136.64,Comcast,0,0,0,0,0.861,FP_29666,iOS-Safari,17.94,23.24,2,0,1,52.85,0,1,SMS,1,1,4.35,0,1,4,3,0,1,45.15,0.698,1,8.1,0.0,0.888,0.674,18.66,0,normal
USER_9214,SESSION_000005,2025-10-26T17:44:00,India,Bangalore,India,196.129.55.3,Jio,0,0,0,0,0.787,FP_84513,Android-Chrome,56.2,143.23,1,0,1,14.1,0,1,SMS,1,1,1.82,0,1,17,6,1,0,84.98,0.676,1,28.21,0.0,0.812,0.794,14.1,0,normal
USER_9051,SESSION_000006,2025-09-25T02:54:00,Singapore,San Francisco,Singapore,211.52.158.85,Jio,1,0,0,0,0.254,FP_78354,Linux-Firefox,21.11,258.23,2,0,1,1.96,1,1,Biometric,1,1,3.28,0,1,2,3,0,1,75.94,0.644,4,12.41,0.002,0.3,0.978,70.05,1,concurrent_login
USER_6457,SESSION_000007,2025-10-11T18:17:00,UK,San Francisco,UK,95.123.79.63,Comcast,0,0,0,0,0.765,FP_33186,iOS-Safari,14.29,173.47,1,0,1,19.86,0,1,SMS,1,1,3.14,0,1,18,5,1,0,56.73,0.674,1,10.68,0.002,0.868,0.842,12.9,0,normal
USER_2227,SESSION_000008,2025-09-30T16:16:00,India,Kolkata,India,223.162.252.26,Airtel,0,0,0,0,0.735,FP_85391,iOS-Safari,5.72,97.73,1,0,1,53.13,0,1,Authenticator_App,1,1,2.68,0,2,16,1,0,0,77.81,0.664,0,17.81,0.003,0.8,0.801,9.98,0,normal
USER_7655,SESSION_000009,2025-10-19T18:33:00,Nigeria,Unknown,India,233.208.186.100,AT&T,1,1,0,0,0.328,FP_32879,Mac-Safari,17.49,3553.37,2,0,1,1.62,0,1,Push_Notification,1,1,4.38,1,1,18,6,1,0,98.46,0.843,0,13.4,0.034,0.3,0.2,40.92,1,high_risk_country
USER_3024,SESSION_000010,2025-09-24T07:51:00,India,Pune,USA,181.234.50.103,Verizon,1,0,0,0,0.231,FP_97428,Mac-Safari,1.11,10045.15,2,0,1,1.36,0,1,Biometric,1,1,1.04,0,2,7,2,0,0,58.22,0.692,0,10.09,1.508,0.3,0.939,46.02,1,impossible_travel
USER_2871,SESSION_000011,2025-09-07T10:07:00,USA,Boston,USA,219.28.58.163,Airtel,0,0,0,0,0.942,FP_59935,iOS-Safari,71.5,113.16,2,0,1,75.83,0,1,Backup_Code,1,1,4.46,0,1,10,6,1,0,78.0,0.779,0,15.26,0.0,0.913,0.676,7.04,0,normal
USER_9120,SESSION_000012,2025-10-03T17:27:00,India,Delhi,USA,88.4.231.134,Airtel,0,0,1,0,0.336,FP_91458,iOS-Safari,0.45,11710.32,1,0,1,1.35,0,1,Authenticator_App,1,1,3.27,1,1,17,4,0,0,90.48,0.613,0,3.46,4.35,0.3,0.874,65.85,1,impossible_travel
